fm_id,pm98,evidence
333,,Portuguesa (code POR; Evair joined 1998) — club not in PM98; Santos votes were ex-Santos transfers
605,Barnet,squad is Barnet 98-99 (Arber/Danny Brown/Paul Wilson); Peterborough votes = players who left Posh for Barnet; Barnet IS in PM98
958,,SpVgg Unterhaching (Kögl/Tremmel/Strehmel/Seitz 99-00) — not in PM98; Stuttgart votes = ex-VfB veterans
969,,Aris Thessaloniki — not in PM98; OFI votes coincidental
1132,,Genoa (table name Genoa CFC; audited absent from PM98 2026-07-06 session 3) — Lecce votes = ex-Lecce players
1157,,Perugia (Nakata + Kaviedes joined 1998; Petrachi/Olive) — not in PM98; Inter votes = Perugia<->Inter transfers
1166,,Salernitana (Giacomo Tedesco/Tosto 98-99) — not in PM98
1176,,Treviso (Luca Toni 99-00 Serie B) — not in PM98
1678,,Leganés (Barbarín/Quique Cárcel/Subero — all Segunda) — not in PM98; Lanús votes = surname collisions
1843,,Örgryte IS (Allbäck + all-Swedish squad) — not in PM98
1867,,Bursaspor (Varesanović/Sözkesen) — not in PM98; Galatasaray votes = ex-Gala players
2005,,Lorient (Loko on loan 98-99/Bedrossian) — not in PM98; Rennes votes = Brittany transfers
2206,,Livorno (Protti; Chiellini is Livorno academy) — not in PM98
2227,,Ternana (Miccoli started there) — not in PM98
2406,,Leixões (Portuguese squad 03-04) — not in PM98; Botafogo votes = Brazilian journeymen
129689,,Akratitos (Dimitris Papadopoulos 99-00) — not in PM98
925050,,Danish club squad w/ Iwelumo 1998 (Aarhus Fremad loan) — not in PM98; Southend votes coincidental
1300565,,Panachaiki (Katsouranis 99-00 pre-AEK) — not in PM98
4002283,,ex-Oldham Conference squad 03-04 — likely Northwich V. but UNPROVEN; curation candidate (Northwich V. IS in PM98)
5100051,,ex-Lincoln non-league squad 03-04 (Gilbert/Bull) — club unidentified
