# Oracle FUN_005a9490 Slice A (active-carrier branch, L55-120). Field mutations at the function RET.
# Row: A9490 <name> | <abs-addr>=<signed LE> ... . p=0x230000 ball=0x280000.
A9490 chase | 0x230040=0 0x23002c=0 0x230030=0 0x280004=150732 0x280008=0 0x28000c=0 0x280020=0 0x280024=0 0x280028=0 0x280040=0 0x280068=0 0x28006c=0 0x28009c=0 0x2800a0=0 0x2800a4=0 
A9490 anim | 0x230040=0 0x23002c=0 0x230030=0 0x280004=52428 0x280008=0 0x28000c=0 0x280020=0 0x280024=0 0x280028=0 0x280040=2293760 0x280068=0 0x28006c=0 0x28009c=0 0x2800a0=0 0x2800a4=0 
A9490 near | 0x230040=0 0x23002c=0 0x230030=0 0x280004=27852 0x280008=0 0x28000c=0 0x280020=0 0x280024=0 0x280028=0 0x280040=2293760 0x280068=0 0x28006c=0 0x28009c=0 0x2800a0=0 0x2800a4=0 
A9490 slowA | 0x230040=0 0x23002c=0 0x230030=0 0x280004=50380 0x280008=1 0x28000c=0 0x280020=3686 0x280024=0 0x280028=0 0x280040=2293760 0x280068=0 0x28006c=0 0x28009c=0 0x2800a0=0 0x2800a4=0 
A9490 slowB | 0x230040=0 0x23002c=0 0x230030=0 0x280004=50380 0x280008=15362 0x28000c=0 0x280020=3686 0x280024=0 0x280028=0 0x280040=2293760 0x280068=0 0x28006c=0 0x28009c=0 0x2800a0=0 0x2800a4=0 
A9490 slowC | 0x230040=0 0x23002c=0 0x230030=0 0x280004=50380 0x280008=1 0x28000c=11520 0x280020=3686 0x280024=0 0x280028=0 0x280040=2293760 0x280068=0 0x28006c=0 0x28009c=0 0x2800a0=0 0x2800a4=0 
A9490 slowD | 0x230040=0 0x23002c=0 0x230030=0 0x280004=62669 0x280008=1 0x28000c=0 0x280020=3686 0x280024=0 0x280028=0 0x280040=2293760 0x280068=0 0x28006c=0 0x28009c=0 0x2800a0=0 0x2800a4=0 
A9490 slowE | 0x230040=0 0x23002c=0 0x230030=0 0x280004=54989 0x280008=7682 0x28000c=3840 0x280020=3686 0x280024=0 0x280028=0 0x280040=2293760 0x280068=0 0x28006c=0 0x28009c=0 0x2800a0=0 0x2800a4=0 
A9490 fast | 0x230040=11 0x23002c=0 0x230030=0 0x280004=52428 0x280008=0 0x28000c=0 0x280020=0 0x280024=0 0x280028=0 0x280040=2293760 0x280068=1 0x28006c=36 0x28009c=19660 0x2800a0=29 0x2800a4=0 
A9490 fast_n2bc | 0x230040=0 0x23002c=0 0x230030=0 0x280004=52428 0x280008=0 0x28000c=0 0x280020=0 0x280024=0 0x280028=0 0x280040=2293760 0x280068=1 0x28006c=36 0x28009c=19660 0x2800a0=29 0x2800a4=0 
A9490 fastP | 0x230040=11 0x23002c=0 0x230030=0 0x280004=85196 0x280008=8192 0x28000c=1024 0x280020=0 0x280024=0 0x280028=0 0x280040=2293760 0x280068=1 0x28006c=36 0x28009c=52428 0x2800a0=8221 0x2800a4=1024 
A9490 fastR | 0x230040=11 0x23002c=0 0x230030=0 0x280004=0 0x280008=65536 0x28000c=0 0x280020=0 0x280024=0 0x280028=0 0x280040=2293760 0x280068=1 0x28006c=36 0x28009c=0 0x2800a0=19659 0x2800a4=0 
A9490 slowR | 0x230040=0 0x23002c=0 0x230030=0 0x280004=0 0x280008=62669 0x28000c=0 0x280020=3686 0x280024=0 0x280028=0 0x280040=2293760 0x280068=0 0x28006c=0 0x28009c=0 0x2800a0=0 0x2800a4=0 
