# phase-0 frame of FUN_005946f0 (sentinel 0x595259). EBASE=0x003079e4; columns = [esp+off].
# RUN: CALL 0 RET steps=466
EBASE 0x003079e4
F 0xfffffffffffffffc 0
F 0x0 0
F 0x4 0
F 0x8 0
F 0xc 4294893568
F 0x10 4294770688
F 0x14 4294868992
F 0x18 4294918144
F 0x1c 4294828032
F 0x20 4294852608
F 0x24 4294885376
F 0x28 586548
F 0x2c 5242880
F 0x30 0
F 0x34 4294803456
F 0x38 0
F 0x3c 0
F 0x40 0
F 0x44 0
F 0x48 4294963200
F 0x4c 4294963200
F 0x50 4096
F 0x54 4096
F 0x58 0
F 0x5c 0
F 0x60 0
F 0x64 0
F 0x68 0
F 0x6c 0
F 0x70 0
F 0x74 0
F 0x78 0
F 0x7c 0
F 0x80 0
F 0x84 0
F 0x88 0
F 0x8c 0
F 0x90 0
F 0x94 0
F 0x98 0
F 0x9c 0
F 0xa0 0
F 0xa4 0
F 0xa8 0
F 0xac 0
F 0xb0 8
F 0xb4 1
F 0xb8 5
F 0xbc 1
F 0xc0 8
F 0xc4 1
F 0xc8 5
F 0xcc 1
F 0xd0 0
F 0xd4 0
F 0xd8 0
F 0xdc 0
F 0xe0 4294963200
F 0xe4 4096
F 0xe8 4096
F 0xec 4294963200
F 0xf0 0
F 0xf4 0
F 0xf8 0
F 0xfc 0
F 0x100 0
F 0x104 0
F 0x108 0
F 0x10c 0
F 0x110 0
F 0x114 0
F 0x118 0
F 0x11c 0
F 0x120 0
F 0x124 0
F 0x128 0
F 0x12c 0
F 0x130 0
F 0x134 0
F 0x138 0
F 0x13c 0
F 0x140 0
F 0x144 0
F 0x148 0
F 0x14c 0
F 0x150 0
F 0x154 0
F 0x158 0
F 0x15c 0
F 0x160 0
F 0x164 0
F 0x168 4294836224
F 0x16c 114688
F 0x170 72089
F 0x174 131072
F 0x178 114688
F 0x17c 72089
F 0x180 65536
F 0x184 49152
F 0x188 0
F 0x18c 4294901760
F 0x190 49152
F 0x194 0
