# ATTR  gate_draw(EAX@5aeee2)  permil(EAX@5aeeff)  threshold(EDX@5aeeff)
0      41                     1                  0
1      41                     1                  0
2      41                     1                  0
3      41                     1                  9
9      41                     1                  27
10     41                     1                  27
30     41                     1                  90
53     41                     1                  153
54     41                     1                  162
55     41                     1                  270
56     41                     1                  279
90     41                     1                  585
100    41                     1                  675
