Season,Name,Club,Position,Nat,BirthYear,Tier,Notes
1998-99,STEVEN GERRARD,LIVERPOOL,MF,ENGLAND,1980,1,
1998-99,JOHN TERRY,CHELSEA,DF,ENGLAND,1980,2,
1998-99,JOE COLE,WEST HAM UTD,MF,ENGLAND,1981,2,
1998-99,JONATHAN WOODGATE,LEEDS UTD,DF,ENGLAND,1980,3,
1999-00,ASHLEY COLE,ARSENAL,DF,ENGLAND,1980,2,
1999-00,MICHAEL CARRICK,WEST HAM UTD,MF,ENGLAND,1981,2,
1999-00,LEDLEY KING,TOTTENHAM H,DF,ENGLAND,1980,3,
2001-02,JERMAIN DEFOE,WEST HAM UTD,FW,ENGLAND,1982,3,
2002-03,WAYNE ROONEY,EVERTON,FW,ENGLAND,1985,1,
2002-03,JAMES MILNER,LEEDS UTD,MF,ENGLAND,1986,3,
2002-03,GLEN JOHNSON,WEST HAM UTD,DF,ENGLAND,1984,3,
2003-04,CRISTIANO RONALDO,MANCHESTER UTD.,FW,PORTUGAL,1985,1,
2003-04,CESC FABREGAS,ARSENAL,MF,SPAIN,1987,2,
2003-04,AARON LENNON,LEEDS UTD,MF,ENGLAND,1987,3,
2004-05,LIONEL MESSI,F.C. BARCELONA,FW,ARGENTINA,1987,1,foreign club: dormant until a career reaches it
2005-06,THEO WALCOTT,SOUTHAMPTON,FW,ENGLAND,1989,2,
2005-06,MICAH RICHARDS,MANCHESTER C,DF,ENGLAND,1988,3,
2006-07,GARETH BALE,SOUTHAMPTON,DF,WALES,1989,1,breakthrough season
2008-09,JACK WILSHERE,ARSENAL,MF,ENGLAND,1992,2,
2008-09,DANNY WELBECK,MANCHESTER UTD.,FW,ENGLAND,1990,3,
2009-10,SEAMUS COLEMAN,EVERTON,DF,REP. OF IRELAND,1988,3,
2011-12,RAHEEM STERLING,LIVERPOOL,FW,ENGLAND,1994,1,
2011-12,JOHN STONES,BARNSLEY,DF,ENGLAND,1994,2,came up at Barnsley
2012-13,LUKE SHAW,SOUTHAMPTON,DF,ENGLAND,1995,2,
2013-14,ROSS BARKLEY,EVERTON,MF,ENGLAND,1993,2,breakthrough season
2014-15,HARRY KANE,TOTTENHAM H,FW,ENGLAND,1993,1,breakout season
2015-16,MARCUS RASHFORD,MANCHESTER UTD.,FW,ENGLAND,1997,1,
2015-16,DELE ALLI,TOTTENHAM H,MF,ENGLAND,1996,2,came up at MK Dons (not in 97-98 world)
2016-17,TRENT ALEXANDER-ARNOLD,LIVERPOOL,DF,ENGLAND,1998,1,
2016-17,RYAN SESSEGNON,FULHAM,DF,ENGLAND,2000,2,
2017-18,PHIL FODEN,MANCHESTER C,MF,ENGLAND,2000,1,
